artist_id,date,week_index,career_month,streams,followers,playlist_adds,editorial_adds
A01,2021-03-01,0,0.0,71526,46415,173,18
A01,2021-03-08,1,0.23,75430,47949,192,21
A01,2021-03-15,2,0.46,84780,62912,3521,649
A01,2021-03-22,3,0.69,92787,73792,2490,721
A01,2021-03-29,4,0.92,84167,83349,2197,451
A01,2021-04-05,5,1.15,83333,92459,2098,499
A01,2021-04-12,6,1.38,91265,100806,1891,354
A01,2021-04-19,7,1.61,80477,108728,1827,361
A01,2021-04-26,8,1.84,77061,114430,1291,212
A01,2021-05-03,9,2.07,69276,120072,1306,215
A01,2021-05-10,10,2.3,65570,124183,941,180
A01,2021-05-17,11,2.53,72593,128198,899,179
A01,2021-05-24,12,2.76,81501,131430,679,123
A01,2021-05-31,13,2.99,71749,134409,649,128
A01,2021-06-07,14,3.22,75280,136782,490,94
A01,2021-06-14,15,3.45,69419,138882,442,113
A01,2021-06-21,16,3.68,68033,141506,580,64
A01,2021-06-28,17,3.91,83204,157637,3912,774
A01,2021-07-05,18,4.14,74573,170905,3239,710
A01,2021-07-12,19,4.37,75361,179711,2134,571
A01,2021-07-19,20,4.6,79110,189640,2412,429
A01,2021-07-26,21,4.83,66495,197495,1944,314
A01,2021-08-02,22,5.06,76313,202727,1265,321
A01,2021-08-09,23,5.29,67576,209145,1594,259
A01,2021-08-16,24,5.52,69513,215317,1533,230
A01,2021-08-23,25,5.75,75250,218659,813,201
A01,2021-08-30,26,5.98,74350,222472,937,154
A01,2021-09-06,27,6.21,75459,225542,752,128
A01,2021-09-13,28,6.44,80618,228552,723,132
A01,2021-09-20,29,6.67,81237,230942,570,119
A01,2021-09-27,30,6.899,70417,232934,506,91
A01,2021-10-04,31,7.129,86894,235191,523,96
A01,2021-10-11,32,7.359,79548,236803,387,64
A01,2021-10-18,33,7.589,73216,238157,344,52
A01,2021-10-25,34,7.819,81718,239743,377,58
A01,2021-11-01,35,8.049,84787,242222,592,60
A01,2021-11-08,36,8.279,107974,264462,5461,1081
A01,2021-11-15,37,8.509,104408,285560,5209,1083
A01,2021-11-22,38,8.739,100110,299831,3537,964
A01,2021-11-29,39,8.969,104168,312548,3150,542
A01,2021-12-06,40,9.199,103851,324682,3018,615
A01,2021-12-13,41,9.429,108888,334791,2508,481
A01,2021-12-20,42,9.659,118808,344132,2295,490
A01,2021-12-27,43,9.889,104791,351792,1928,441
A01,2022-01-03,44,10.119,107773,358014,1567,331
A01,2022-01-10,45,10.349,121615,363282,1291,193
A01,2022-01-17,46,10.579,111664,367557,1079,283
A01,2022-01-24,47,10.809,107168,372082,1161,227
A01,2022-01-31,48,11.039,111351,375401,850,150
A01,2022-02-07,49,11.269,111156,379029,931,148
A01,2022-02-14,50,11.499,118747,381827,704,143
A01,2022-02-21,51,11.729,116411,384629,715,122
A01,2022-02-28,52,11.959,126734,386955,566,102
A01,2022-03-07,53,12.189,124721,389762,695,95
A01,2022-03-14,54,12.419,150040,402792,3174,743
A01,2022-03-21,55,12.649,165705,415938,3166,446
A01,2022-03-28,56,12.879,150290,427896,2931,433
A01,2022-04-04,57,13.109,165879,439317,2759,569
A01,2022-04-11,58,13.339,157189,447975,2107,455
A01,2022-04-18,59,13.569,182989,458157,2416,337
A01,2022-04-25,60,13.799,175757,463997,1363,191
A01,2022-05-02,61,14.029,177686,468257,968,286
A01,2022-05-09,62,14.259,178184,472843,1052,236
A01,2022-05-16,63,14.489,193379,478010,1154,190
A01,2022-05-23,64,14.719,192140,482226,925,173
A01,2022-05-30,65,14.949,192759,485165,608,164
A01,2022-06-06,66,15.179,170469,488599,805,107
A01,2022-06-13,67,15.409,212194,493760,1109,153
A01,2022-06-20,68,15.639,208486,496368,488,109
A01,2022-06-27,69,15.869,206672,498991,500,107
A01,2022-07-04,70,16.099,216829,503469,934,104
A01,2022-07-11,71,16.329,245042,513712,2291,89
A01,2022-07-18,72,16.559,344822,557041,10257,1563
A01,2022-07-25,73,16.789,386151,596318,9157,1554
A01,2022-08-01,74,17.019,379275,629457,7683,1252
A01,2022-08-08,75,17.249,396787,661401,7363,1393
A01,2022-08-15,76,17.479,419831,685157,5275,1241
A01,2022-08-22,77,17.709,347062,706985,5046,909
A01,2022-08-29,78,17.939,400442,728932,4929,885
A01,2022-09-05,79,18.169,396434,744298,3319,837
A01,2022-09-12,80,18.399,406102,761784,3834,459
A01,2022-09-19,81,18.629,454812,778134,3413,514
A01,2022-09-26,82,18.859,454133,789875,2280,454
A01,2022-10-03,83,19.089,448913,800889,2126,502
A01,2022-10-10,84,19.319,501143,814402,2597,426
A01,2022-10-17,85,19.549,527384,827386,2395,321
A01,2022-10-24,86,19.779,549298,841536,2631,347
A01,2022-10-31,87,20.009,607757,850589,1186,296
A01,2022-11-07,88,20.239,550684,858948,1202,234
A01,2022-11-14,89,20.469,618864,870685,1839,324
A01,2022-11-21,90,20.698,611916,880813,1471,306
A01,2022-11-28,91,20.928,664670,891487,1451,244
A01,2022-12-05,92,21.158,653272,901256,1271,235
A01,2022-12-12,93,21.388,670729,910216,1023,263
A01,2022-12-19,94,21.618,659668,921020,1529,207
A01,2022-12-26,95,21.848,742322,937151,2610,240
A01,2023-01-02,96,22.078,782992,949262,1493,198
A01,2023-01-09,97,22.308,774818,958637,846,183
A01,2023-01-16,98,22.538,775388,975011,2604,220
A01,2023-01-23,99,22.768,925557,1011563,7191,707
A01,2023-01-30,100,22.998,995997,1034989,3723,664
A01,2023-02-06,101,23.228,916523,1053380,2739,794
A01,2023-02-13,102,23.458,976369,1073956,3115,643
A01,2023-02-20,103,23.688,910877,1091368,2551,477
A01,2023-02-27,104,23.918,891658,1108605,2585,570
A01,2023-03-06,105,24.148,955997,1126670,2606,607
A01,2023-03-13,106,24.378,892601,1140537,1775,403
A01,2023-03-20,107,24.608,851344,1157913,2796,383
A01,2023-03-27,108,24.838,975762,1186951,5336,376
A01,2023-04-03,109,25.068,1175987,1237202,10037,1552
A01,2023-04-10,110,25.298,1286681,1274034,6383,888
A01,2023-04-17,111,25.528,989859,1301297,4964,1185
A01,2023-04-24,112,25.758,1149996,1330830,5053,883
A01,2023-05-01,113,25.988,986750,1353413,3861,983
A01,2023-05-08,114,26.218,929645,1372244,3126,723
A01,2023-05-15,115,26.448,986431,1390624,2853,535
